City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Blackwater,AU,2022-04-06 23:06:56,-23.5833,148.8833,75.67,58,26,6.11
233,Yumaguzino,RU,2022-04-06 23:06:56,52.9041,56.3933,37.76,99,100,9.15
234,Goure,NE,2022-04-06 23:06:56,13.9835,10.2704,83.16,7,5,8.23
235,Longyearbyen,SJ,2022-04-06 23:03:10,78.2186,15.6401,12.04,67,0,14.97
236,Luoyang,CN,2022-04-06 23:06:57,34.6836,112.4536,49.32,57,0,1.57
237,Virginia Beach,US,2022-04-06 23:06:49,36.8529,-75.978,65.05,75,40,14.97
238,Hammerfest,NO,2022-04-06 23:06:57,70.6634,23.6821,32.45,74,0,21.85
239,Adrar,MR,2022-04-06 23:06:25,20.5022,-10.0711,74.48,22,5,13.11
240,Kieta,PG,2022-04-06 23:06:57,-6.2167,155.6333,77.5,94,100,9.57
241,Byron Bay,AU,2022-04-06 23:06:58,-28.65,153.6167,71.94,72,79,9.48
242,Port Elizabeth,ZA,2022-04-06 23:06:58,-33.918,25.5701,58.1,85,34,10.0
243,Zhigalovo,RU,2022-04-06 23:06:59,54.8097,105.1578,37.49,97,100,5.59
244,San Lorenzo,PY,2022-04-06 23:06:59,-25.3333,-57.5333,81.54,83,20,4.61
245,Canon City,US,2022-04-06 23:06:59,38.441,-105.2424,54.63,11,0,13.0
246,Codrington,AU,2022-04-06 23:06:59,-38.2667,141.9667,63.54,67,92,11.32
247,Huangnihe,CN,2022-04-06 23:07:00,43.5583,128.0239,29.26,75,100,6.53
248,Thompson,CA,2022-04-06 23:07:00,55.7435,-97.8558,32.16,93,100,12.66
249,Nara,JP,2022-04-06 23:07:00,34.6851,135.8049,56.7,50,50,0.67
250,Provideniya,RU,2022-04-06 23:07:01,64.3833,-173.3,-0.29,71,0,8.99
251,Aksu,CN,2022-04-06 23:07:01,41.1231,80.2644,59.68,21,8,3.33
252,Stokmarknes,NO,2022-04-06 23:07:01,68.5646,14.9108,33.78,60,100,13.8
253,Rosetta,EG,2022-04-06 23:07:02,31.4044,30.4164,61.88,82,85,5.01
254,Santa Cruz,BO,2022-04-06 23:04:49,-17.8,-63.1667,84.25,65,40,9.22
255,Cayenne,GF,2022-04-06 23:02:04,4.9333,-52.3333,81.09,1,75,9.22
256,Bilibino,RU,2022-04-06 23:07:02,68.0546,166.4372,-5.24,92,84,2.75
257,Grand-Santi,GF,2022-04-06 23:07:02,4.25,-54.3833,73.54,99,92,2.55
258,Huarmey,PE,2022-04-06 23:07:03,-10.0681,-78.1522,71.83,79,59,11.34
259,Chake Chake,TZ,2022-04-06 23:02:18,-5.2459,39.7666,79.27,77,4,5.44
260,La Asuncion,VE,2022-04-06 23:05:15,11.0333,-63.8628,77.31,84,45,18.07
261,Dafeng,CN,2022-04-06 23:07:03,23.4517,108.5881,66.65,70,45,4.92
262,Asau,RO,2022-04-06 23:07:04,46.4333,26.4,43.72,74,8,3.69
263,Henties Bay,NA,2022-04-06 23:07:04,-22.116,14.2845,61.02,85,4,9.64
264,Wuwei,CN,2022-04-06 23:07:04,37.9281,102.6414,50.07,26,0,3.83
265,Upernavik,GL,2022-04-06 23:07:05,72.7868,-56.1549,-3.86,99,66,9.01
266,Camopi,GF,2022-04-06 23:07:05,3.1655,-52.3158,72.48,99,100,3.49
267,Ketchikan,US,2022-04-06 23:07:05,55.3422,-131.6461,39.67,75,100,18.41
268,Eirunepe,BR,2022-04-06 23:07:06,-6.6603,-69.8736,75.38,97,78,2.39
